a	477142
aa	24
aaa	4
aaaabbr	1
aaabbr	1
aaal	1
aaalabbr	1
aaas	1
aaasabbr	1
aabba	1
aabbr	4
aaby	1
aachen	2
aada	1
aadj	1
aaf	1
aafabbr	1
aage	4
aah	10
aahed	2
aahing	2
aahs	1
aaikk	1
aaisie	1
aaisier	1
aal	4
aala	2
aalborg	1
aalst	3
aalto	1
aamm	1
aana	3
aanda	1
aanslag	1
aapau	1
aapss	1
aapssabbr	1
aar	10
aara	1
aarabbr	1
aaraxp	1
aard	2
aarde	2
aardvark	9
aardwolf	1
aare	4
aarhus	1
aaron	17
aaronic	1
aarp	1
aarpabbr	1
aas	1
aasa	1
aasabbr	1
aasee	1
aau	1
aauabbr	1
aaup	1
aaupabbr	1
aauw	1
aauwabbr	1
aave	16
aaveabbr	1
aaveany	1
ab	450
aba	8
abaa	1
abaaabab	1
abaabbr	1
abab	2
ababa	3
abababcc	1
ababbcbcc	1
ababbcc	1
abac	1
abaca	3
abaci	1
aback	17
abaco	4
abacterial	1
abacura	1
abacus	14
abacuses	1
abadan	2
abaer	1
abaft	5
abai	1
abaie	1
abaien	1
abaiier	2
abaishen	2
abaissier	1
abaisso	1
abajo	2
abak	1
abaka	2
abakan	3
abakos	1
abalone	4
abampere	2
abandon	93
abandoned	120
abandoneda	1
abandoner	1
abandoning	3
abandonment	17
abandons	1
abandonshe	1
abandonthe	1
abandounen	1
abante	4
abanti	1
abapical	1
abase	9
abasement	4
abash	5
abashed	8
abashedunabashedly	1
abasia	1
abassen	1
abate	25
abated	1
abateis	1
abatement	10
abaten	2
abating	5
abatis	1
abattoir	10
abattoirs	2
abattre	3
abax	5
abaxial	1
abaya	2
abb	33
abba	3
abbaabba	1
abbacy	2
abbacyal	1
abbado	1
abbai	1
abbaququ	1
abbas	1
abbassi	1
abbassid	2
abbatial	1
abbatie	1
abbattre	1
abbe	3
abbes	1
abbess	11
abbeville	1
abbevillian	2
abbey	53
abbeys	2
abbod	1
abbot	26
abbott	13
abbr	2380
abbrev	1
abbrevi	3
abbreviate	9
abbreviated	33
abbreviaten	1
abbreviating	2
abbreviation	2242
abbreviationa	3
abbreviationabsent	1
abbreviationaccident	2
abbreviationafter	2
abbreviationaide	1
abbreviationalso	1
abbreviationamerican	3
abbreviationamplitude	1
abbreviationanonymous	1
abbreviationanti	1
abbreviationany	1
abbreviationapproximate	1
abbreviationas	1
abbreviationassociation	1
abbreviationaudio	1
abbreviationautomobile	1
abbreviationbacon	1
abbreviationbarbecue	1
abbreviationbaronet	1
abbreviationbefore	2
abbreviationbetween	2
abbreviationborn	1
abbreviationbritish	1
abbreviationcable	1
abbreviationcaptain	1
abbreviationcash	1
abbreviationcentral	1
abbreviationcentury	1
abbreviationcertificate	1
abbreviationchief	1
abbreviationchurch	1
abbreviationclosed	1
abbreviationcolumbia	1
abbreviationcommander	1
abbreviationcommanding	1
abbreviationcommon	1
abbreviationcomputer	3
abbreviationconfederation	1
abbreviationconsumer	1
abbreviationcontinued	1
abbreviationcorporation	1
abbreviationcountry	1
abbreviationcreutzfeldt	1
abbreviationcriminal	1
abbreviationdaylight	1
abbreviationdegree	1
abbreviationdepartment	2
abbreviationdesktop	1
abbreviationdigital	1
abbreviationdistrict	1
abbreviationditto	1
abbreviationeconomic	1
abbreviationedited	1
abbreviationemergency	1
abbreviationenglish	2
abbreviationeuropean	2
abbreviationexchange	1
abbreviationextra	1
abbreviationfather	1
abbreviationfederal	1
abbreviationfor	2
abbreviationforeign	1
abbreviationgerman	1
abbreviationgood	1
abbreviationgrand	1
abbreviationgreat	1
abbreviationgroup	1
abbreviationheadquarters	1
abbreviationher	2
abbreviationhis	1
abbreviationin	1
abbreviationincorporated	1
abbreviationindependent	2
abbreviationinspector	1
abbreviationintensive	1
abbreviationinternal	1
abbreviationinternational	4
abbreviationjunior	1
abbreviationjuniorcompare	1
abbreviationjustice	1
abbreviationkilometres	1
abbreviationknockout	1
abbreviationlight	1
abbreviationlimited	1
abbreviationlocal	1
abbreviationmarylebone	1
abbreviationmedical	1
abbreviationmiles	2
abbreviationministry	1
abbreviationmonosodium	1
abbreviationmultiple	1
abbreviationmusic	1
abbreviationnational	3
abbreviationnegative	1
abbreviationnew	3
abbreviationnon	2
abbreviationnorth	3
abbreviationnoun	1
abbreviationopus	1
abbreviationorganization	2
abbreviationounce	1
abbreviationpay	1
abbreviationper	2
abbreviationpopulation	1
abbreviationpretty	2
abbreviationrapid	1
abbreviationrecommended	1
abbreviationreference	1
abbreviationregistered	2
abbreviationresearch	2
abbreviationrest	1
abbreviationretail	1
abbreviationrevolutions	1
abbreviationrhythm	1
abbreviationroman	1
abbreviationroyal	3
abbreviations	14
abbreviationscottish	2
abbreviationsecond	1
abbreviationsecretary	1
abbreviationsenator	1
abbreviationseniorcompare	1
abbreviationsergeant	1
abbreviationsingle	1
abbreviationsouth	2
abbreviationspecial	1
abbreviationstone	1
abbreviationteaching	1
abbreviationtelephone	1
abbreviationtest	1
abbreviationthat	1
abbreviationthe	2
abbreviationtrades	1
abbreviationulster	2
abbreviationultra	1
abbreviationunion	1
abbreviationunited	9
abbreviationused	12
abbreviationvenereal	1
abbreviationvery	1
abbreviationvice	1
abbreviationvolume	1
